"test_prop"	"lng"	"ED"	"NED"	"B3_F1"
0.3	"NanSang"	1.051	0.337	0.668
0.3	"NoeLae"	0.525	0.191	0.802
0.3	"NyaungGone"	0.729	0.266	0.724
0.3	"PangKham"	0.695	0.234	0.799
0.3	"PongNuea"	0.862	0.307	0.795
0.3	"XiangZhaiTang"	0.712	0.25	0.831
0.3	"BelejeGonfoye"	1.639	0.303	0.624
0.3	"Fadashi"	0.967	0.198	0.735
0.3	"Maiyu"	1.283	0.243	0.691
0.3	"Undulu"	1.131	0.224	0.712
0.3	"Albanian"	3	0.793	0.344
0.3	"English"	2.589	0.713	0.362
0.3	"French"	2.6	0.743	0.31
0.3	"German"	2.309	0.665	0.403
0.3	"Latin"	3.333	0.688	0.273
0.3	"Dashi"	0.863	0.255	0.672
0.3	"Ega"	0.571	0.177	0.752
0.3	"Enqi"	0.665	0.192	0.758
0.3	"Gongxing"	0.794	0.225	0.696
0.3	"Jinman"	0.766	0.237	0.705
0.3	"Jinxing"	0.574	0.164	0.77
0.3	"Mazhelong"	0.847	0.249	0.681
0.3	"ProtoBai"	0.873	0.219	0.719
0.3	"Tuoluo"	0.661	0.18	0.746
0.3	"Zhoucheng"	0.51	0.163	0.763
0.3	"Kayah"	0.184	0.053	0.916
0.3	"Kayan"	0.447	0.107	0.856
0.3	"Kayaw"	0.193	0.058	0.923
0.3	"NorthernPao"	0.386	0.087	0.862
0.3	"NorthernPwo"	0.798	0.214	0.775
0.3	"ProtoKaren"	0.57	0.141	0.831
0.3	"SouthernPao"	0.386	0.087	0.861
0.3	"WesternBwe"	0.526	0.16	0.801
0.3	"Duhumbi"	0.698	0.281	0.62
0.3	"Jerigaon"	0.309	0.131	0.816
0.3	"Khispi"	0.611	0.25	0.66
0.3	"Khoina"	0.465	0.199	0.748
0.3	"Khoitam"	0.28	0.116	0.831
0.3	"Rahung"	0.284	0.111	0.816
0.3	"Rupa"	0.305	0.128	0.839
0.3	"Shergaon"	0.342	0.145	0.789
0.3	"Beijing"	0.161	0.047	0.925
0.3	"Changsha"	0.381	0.116	0.841
0.3	"Chaozhou"	1.11	0.285	0.599
0.3	"Chengdu"	0.123	0.035	0.95
0.3	"Fuzhou"	0.813	0.21	0.716
0.3	"Guangzhou"	0.561	0.157	0.761
0.3	"Hankou"	0.135	0.039	0.941
0.3	"Jinan"	0.116	0.038	0.942
0.3	"Meixian"	0.574	0.153	0.771
0.3	"Nanchang"	0.477	0.134	0.801
0.3	"Shanghai"	0.497	0.15	0.781
0.3	"Shuangfeng"	0.645	0.177	0.738
0.3	"Suzhou"	0.361	0.103	0.851
0.3	"Taiyuan"	0.226	0.058	0.903
0.3	"Wenzhou"	0.845	0.251	0.658
0.3	"Xiamen"	0.561	0.15	0.783
0.3	"XiAn"	0.239	0.073	0.896
0.3	"Yangzhou"	0.303	0.087	0.869
0.3	"ZhongyuanYinyun"	0.342	0.087	0.865
0.5	"cojubim"	1.406	0.285	0.645
0.5	"jaru"	3.417	0.511	0.353
0.5	"kitemoka"	3.935	0.636	0.32
0.5	"more"	1.779	0.327	0.534
0.5	"orowin"	2.072	0.338	0.553
0.5	"tapakura"	3.694	0.586	0.328
0.5	"tora"	2.931	0.491	0.372
0.5	"urupa"	3.812	0.662	0.326
0.5	"wanyam"	2.465	0.416	0.531
0.5	"wari"	2.619	0.419	0.486
0.5	1	1.425	0.305	0.597
0.5	10	1.444	0.295	0.6
0.5	2	1.231	0.276	0.653
0.5	3	1.593	0.393	0.613
0.5	4	1.307	0.315	0.641
0.5	5	1.818	0.548	0.624
0.5	6	1.4	0.314	0.58
0.5	7	1.406	0.329	0.622
0.5	8	1.458	0.342	0.593
0.5	9	2.17	0.49	0.534
0.5	"AchangLongchuan"	1.609	0.399	0.495
0.5	"Atsi"	2.014	0.527	0.406
0.5	"Bola"	1.043	0.28	0.659
0.5	"Lashi"	2.306	0.606	0.382
0.5	"Maru"	0.868	0.232	0.679
0.5	"OldBurmese"	0.707	0.228	0.742
0.5	"ProtoBurmish"	0.744	0.192	0.735
0.5	"Rangoon"	2.941	0.835	0.232
0.5	"Xiandao"	2.562	0.678	0.312
0.5	"BanPaw"	1.065	0.391	0.652
0.5	"ChaYeQing"	1.356	0.5	0.542
0.5	"ChuDongGua"	1.452	0.52	0.537
0.5	"GuangKa"	1.367	0.492	0.55
0.5	"HtanHsan"	1.217	0.431	0.631
0.5	"KhunHawt"	1.205	0.429	0.592
0.5	"MangBang"	1.275	0.464	0.566
0.5	"ManLoi"	1.2	0.435	0.601
0.5	"MengDan"	1.378	0.485	0.57
0.5	"NamHsan"	1.357	0.473	0.557
0.5	"NanSang"	1.355	0.481	0.513
0.5	"NoeLae"	0.927	0.348	0.7
0.5	"NyaungGone"	1.181	0.438	0.631
0.5	"PangKham"	1.29	0.474	0.576
0.5	"PongNuea"	1.064	0.4	0.719
0.5	"XiangZhaiTang"	0.968	0.359	0.682
0.5	"BelejeGonfoye"	2.084	0.4	0.567
