"Language"	"ED"	"NED"	"B-Cubed"	"BLEU"
"cojubim"	1.406	0.285	0.645	0.552
"jaru"	3.417	0.511	0.353	0.28
"kitemoka"	3.935	0.636	0.32	0.141
"more"	1.779	0.327	0.534	0.541
"orowin"	2.072	0.338	0.553	0.484
"tapakura"	3.694	0.586	0.328	0.228
"tora"	2.931	0.491	0.372	0.329
"urupa"	3.812	0.662	0.326	0.125
"wanyam"	2.465	0.416	0.531	0.383
"wari"	2.619	0.419	0.486	0.368
1	1.425	0.305	0.597	0.555
10	1.444	0.295	0.6	0.569
2	1.231	0.276	0.653	0.595
3	1.593	0.393	0.613	0.452
4	1.307	0.315	0.641	0.517
5	1.818	0.548	0.624	0.342
6	1.4	0.314	0.58	0.538
7	1.406	0.329	0.622	0.527
8	1.458	0.342	0.593	0.51
9	2.17	0.49	0.534	0.335
"AchangLongchuan"	1.609	0.399	0.495	0.478
"Atsi"	2.014	0.527	0.406	0.322
"Bola"	1.043	0.28	0.659	0.601
"Lashi"	2.306	0.606	0.382	0.242
"Maru"	0.868	0.232	0.679	0.66
"OldBurmese"	0.707	0.228	0.742	0.684
"ProtoBurmish"	0.744	0.192	0.735	0.717
"Rangoon"	2.941	0.835	0.232	0.085
"Xiandao"	2.562	0.678	0.312	0.213
"BanPaw"	1.065	0.391	0.652	0.5
"ChaYeQing"	1.356	0.5	0.542	0.345
"ChuDongGua"	1.452	0.52	0.537	0.331
"GuangKa"	1.367	0.492	0.55	0.344
"HtanHsan"	1.217	0.431	0.631	0.429
"KhunHawt"	1.205	0.429	0.592	0.433
"MangBang"	1.275	0.464	0.566	0.391
"ManLoi"	1.2	0.435	0.601	0.431
"MengDan"	1.378	0.485	0.57	0.382
"NamHsan"	1.357	0.473	0.557	0.408
"NanSang"	1.355	0.481	0.513	0.394
"NoeLae"	0.927	0.348	0.7	0.518
"NyaungGone"	1.181	0.438	0.631	0.408
"PangKham"	1.29	0.474	0.576	0.38
"PongNuea"	1.064	0.4	0.719	0.467
"XiangZhaiTang"	0.968	0.359	0.682	0.511
"BelejeGonfoye"	2.084	0.4	0.567	0.433
"Fadashi"	1.273	0.236	0.651	0.626
"Maiyu"	1.484	0.284	0.626	0.572
"Undulu"	1.451	0.27	0.635	0.582
"Albanian"	3.027	0.833	0.298	0.058
"English"	2.493	0.706	0.348	0.146
"French"	2.681	0.707	0.329	0.163
"German"	2.292	0.617	0.362	0.225
"Latin"	3.517	0.712	0.238	0.15
"Dashi"	1.047	0.312	0.641	0.562
"Ega"	0.864	0.263	0.66	0.636
"Enqi"	0.911	0.258	0.667	0.632
"Gongxing"	1.184	0.336	0.58	0.539
"Jinman"	1.031	0.317	0.622	0.571
"Jinxing"	0.803	0.23	0.71	0.648
"Mazhelong"	0.938	0.267	0.667	0.607
"ProtoBai"	1.185	0.308	0.639	0.543
"Tuoluo"	1.045	0.29	0.687	0.573
"Zhoucheng"	0.675	0.213	0.716	0.694
"Kayah"	0.383	0.113	0.828	0.832
"Kayan"	0.621	0.158	0.783	0.748
"Kayaw"	0.299	0.089	0.87	0.867
"NorthernPao"	0.563	0.131	0.816	0.803
"NorthernPwo"	0.952	0.259	0.692	0.617
"ProtoKaren"	0.558	0.135	0.827	0.785
"SouthernPao"	0.424	0.097	0.841	0.855
"WesternBwe"	0.638	0.191	0.757	0.713
"Duhumbi"	0.933	0.379	0.517	0.507
"Jerigaon"	0.427	0.182	0.761	0.756
"Khispi"	0.851	0.347	0.529	0.544
"Khoina"	0.597	0.257	0.684	0.667
"Khoitam"	0.302	0.128	0.814	0.827
"Rahung"	0.354	0.145	0.782	0.809
"Rupa"	0.376	0.156	0.778	0.786
"Shergaon"	0.371	0.162	0.763	0.777
"Beijing"	0.174	0.051	0.918	0.92
"Changsha"	0.355	0.106	0.847	0.843
"Chaozhou"	1.216	0.323	0.563	0.553
"Chengdu"	0.12	0.033	0.948	0.948
"Fuzhou"	0.749	0.197	0.726	0.694
"Guangzhou"	0.598	0.165	0.737	0.748
"Hankou"	0.189	0.055	0.914	0.916
"Jinan"	0.174	0.052	0.92	0.921
"Meixian"	0.51	0.139	0.781	0.777
"Nanchang"	0.514	0.141	0.798	0.777
"Shanghai"	0.544	0.157	0.763	0.766
"Shuangfeng"	0.668	0.189	0.741	0.716
"Suzhou"	0.359	0.101	0.842	0.838
"Taiyuan"	0.347	0.086	0.855	0.868
"Wenzhou"	0.911	0.27	0.624	0.611
"Xiamen"	0.61	0.163	0.756	0.757
"XiAn"	0.332	0.097	0.86	0.855
"Yangzhou"	0.382	0.103	0.845	0.846
"ZhongyuanYinyun"	0.444	0.11	0.832	0.814
