DATASET	PosStr
Bai	0.7603,ED:0.7891,NED:0.2033
Burmish	0.8431,ED:0.6667,NED:0.1757
Karen	0.8750,ED:0.5056,NED:0.1313
Lalo	0.7205,ED:0.6360,NED:0.1992
Purus	0.9006,ED:0.4100,NED:0.0824
Romance	0.7487,ED:1.5600,NED:0.1879
