svm-0.5	9	Lalo	0.7104	0.2166	0.6600
svm-0.5	10	Lalo	0.7040	0.2203	0.6598
svm-0.5	1	Purus	0.4444	0.0848	0.8655
svm-0.5	2	Purus	0.4343	0.0840	0.8668
svm-0.5	3	Purus	0.4242	0.0811	0.8721
svm-0.5	4	Purus	0.3232	0.0648	0.8976
svm-0.5	5	Purus	0.4545	0.0898	0.8578
svm-0.5	6	Purus	0.3939	0.0781	0.8835
svm-0.5	7	Purus	0.3434	0.0635	0.8969
svm-0.5	8	Purus	0.4747	0.0906	0.8585
svm-0.5	9	Purus	0.4848	0.0892	0.8536
svm-0.5	10	Purus	0.4646	0.0895	0.8566
svm-0.5	1	Romance	1.6252	0.1976	0.7376
svm-0.5	2	Romance	1.6184	0.1938	0.7380
svm-0.5	3	Romance	1.6459	0.2007	0.7319
svm-0.5	4	Romance	1.5740	0.1893	0.7454
svm-0.5	5	Romance	1.6353	0.1964	0.7344
svm-0.5	6	Romance	1.6040	0.1925	0.7423
svm-0.5	7	Romance	1.6068	0.1942	0.7372
svm-0.5	8	Romance	1.6184	0.1946	0.7381
svm-0.5	9	Romance	1.6532	0.2000	0.7342
svm-0.5	10	Romance	1.6614	0.1991	0.7333
svm-0.8	1	Bai	1.1090	0.2886	0.6191
svm-0.8	2	Bai	1.0790	0.2822	0.6166
svm-0.8	3	Bai	1.1199	0.2897	0.6223
svm-0.8	4	Bai	1.2016	0.3132	0.6029
svm-0.8	5	Bai	1.0327	0.2728	0.6410
svm-0.8	6	Bai	1.1117	0.2900	0.6182
svm-0.8	7	Bai	1.1390	0.3011	0.6223
svm-0.8	8	Bai	1.0109	0.2613	0.6541
svm-0.8	9	Bai	1.0436	0.2745	0.6280
svm-0.8	10	Bai	0.9782	0.2552	0.6458
svm-0.8	1	Burmish	1.1581	0.3023	0.6124
svm-0.8	2	Burmish	1.1860	0.3186	0.6232
svm-0.8	3	Burmish	1.1535	0.3091	0.6300
svm-0.8	4	Burmish	1.0698	0.2844	0.6434
svm-0.8	5	Burmish	1.3349	0.3553	0.5539
svm-0.8	6	Burmish	1.3209	0.3509	0.5757
svm-0.8	7	Burmish	1.2093	0.3257	0.6167
svm-0.8	8	Burmish	1.2233	0.3236	0.6054
svm-0.8	9	Burmish	1.0977	0.2973	0.6374
svm-0.8	10	Burmish	1.1535	0.3080	0.6130
svm-0.8	1	Karen	0.9041	0.2373	0.7103
svm-0.8	2	Karen	0.9315	0.2397	0.7052
svm-0.8	3	Karen	0.8596	0.2178	0.7196
svm-0.8	4	Karen	0.9212	0.2402	0.6974
svm-0.8	5	Karen	0.8459	0.2164	0.7232
svm-0.8	6	Karen	0.8836	0.2313	0.7068
svm-0.8	7	Karen	0.8459	0.2224	0.7207
svm-0.8	8	Karen	0.7158	0.1902	0.7510
svm-0.8	9	Karen	1.0342	0.2697	0.6649
svm-0.8	10	Karen	0.9281	0.2450	0.6996
svm-0.8	1	Lalo	0.8452	0.2620	0.6041
svm-0.8	2	Lalo	0.9121	0.2850	0.5754
svm-0.8	3	Lalo	0.9570	0.2971	0.5761
svm-0.8	4	Lalo	0.9111	0.2877	0.5770
svm-0.8	5	Lalo	0.9181	0.2879	0.5862
svm-0.8	6	Lalo	0.8901	0.2788	0.5896
svm-0.8	7	Lalo	0.9401	0.2953	0.5799
svm-0.8	8	Lalo	0.8941	0.2821	0.5881
svm-0.8	9	Lalo	0.8841	0.2730	0.6004
svm-0.8	10	Lalo	0.8631	0.2705	0.5927
svm-0.8	1	Purus	0.5660	0.1088	0.8406
svm-0.8	2	Purus	0.5912	0.1089	0.8191
svm-0.8	3	Purus	0.5660	0.1172	0.8286
svm-0.8	4	Purus	0.5597	0.1026	0.8326
svm-0.8	5	Purus	0.6415	0.1247	0.8271
svm-0.8	6	Purus	0.6352	0.1229	0.8127
