DATASET	PosStr
Bai	0.7014,ED:0.8262,NED:0.2109
Burmish	0.7132,ED:0.8403,NED:0.2233
Karen	0.7784,ED:0.6434,NED:0.1683
Lalo	0.6539,ED:0.7149,NED:0.2234
Purus	0.8709,ED:0.4242,NED:0.0815
Romance	0.7372,ED:1.6243,NED:0.1958
