test_prop	valid	lng	ED	NED	B3_F1
0.30	0	[German]	2.7636	0.663	0.3889
0.30	0	[Latin]	2.7333	0.6636	0.4088
0.30	0	[BelejeGonfoye]	1.6393	0.2969	0.638
0.30	0	[Fadashi]	1.0656	0.2168	0.7203
0.30	0	[Maiyu]	1.6167	0.3112	0.6523
0.30	0	[Undulu]	1.1639	0.2359	0.7012
0.30	0	[Kayah]	1.0614	0.3363	0.7696
0.30	0	[Kayan]	1.0965	0.2883	0.7539
0.30	0	[Kayaw]	0.5789	0.1791	0.8369
0.30	0	[NorthernPao]	0.6228	0.1608	0.8534
0.30	0	[NorthernPwo]	1.8158	0.4946	0.6773
0.30	0	[ProtoKaren]	1.0877	0.2813	0.7706
0.30	0	[SouthernPao]	0.5175	0.1294	0.8581
0.30	0	[WesternBwe]	1.0877	0.3421	0.7603
0.30	0	[Dashi]	1.1474	0.3488	0.6704
0.30	0	[Ega]	0.9476	0.297	0.6703
0.30	0	[Enqi]	1.0355	0.3122	0.6728
0.30	0	[Gongxing]	1.5567	0.468	0.5629
0.30	0	[Jinman]	1.1094	0.3503	0.6326
0.30	0	[Jinxing]	0.8579	0.2543	0.7623
0.30	0	[Mazhelong]	1.0947	0.3332	0.6815
0.30	0	[ProtoBai]	1.5939	0.4277	0.5978
0.30	0	[Tuoluo]	1.3594	0.3948	0.6268
0.30	0	[Zhoucheng]	0.6354	0.196	0.7528
0.30	0	[BanPaw]	0.8644	0.3085	0.7909
0.30	0	[ChaYeQing]	1.0	0.3568	0.6804
0.30	0	[ChuDongGua]	1.0678	0.3706	0.6809
0.30	0	[GuangKa]	0.9153	0.322	0.7135
0.30	0	[HtanHsan]	1.0508	0.3669	0.7063
0.30	0	[KhunHawt]	1.1017	0.389	0.6833
0.30	0	[MangBang]	1.0847	0.3867	0.6801
0.30	0	[ManLoi]	1.0169	0.363	0.7016
0.30	0	[MengDan]	1.1356	0.4088	0.7362
0.30	0	[NamHsan]	1.2373	0.4356	0.6829
0.30	0	[NanSang]	1.0169	0.3506	0.6805
0.30	0	[NoeLae]	1.0169	0.3571	0.7369
0.30	0	[NyaungGone]	0.9322	0.3302	0.7473
0.30	0	[PangKham]	0.8983	0.3023	0.7442
0.30	0	[PongNuea]	1.0169	0.372	0.7275
0.30	0	[XiangZhaiTang]	1.0	0.3534	0.7383
0.30	0	[cojubim]	0.8913	0.1985	0.7703
0.30	0	[jaru]	2.0238	0.3535	0.5968
0.30	0	[kitemoka]	3.2051	0.5354	0.4067
0.30	0	[more]	1.2264	0.2382	0.6635
0.30	0	[orowin]	1.5882	0.2807	0.6797
0.30	0	[tapakura]	2.5581	0.4269	0.5008
0.30	0	[tora]	2.2353	0.4265	0.5181
0.30	0	[urupa]	1.7895	0.3355	0.638
0.30	0	[wanyam]	2.2364	0.3574	0.6432
0.30	0	[wari]	2.4808	0.4171	0.5494
0.30	0	[AchangLongchuan]	1.6	0.3984	0.5571
0.30	0	[Atsi]	1.4453	0.3836	0.5844
0.30	0	[Bola]	1.3967	0.3873	0.5985
0.30	0	[Lashi]	1.8759	0.5101	0.5149
0.30	0	[Maru]	1.616	0.4352	0.5293
0.30	0	[OldBurmese]	1.4521	0.4299	0.638
0.30	0	[ProtoBurmish]	1.6014	0.4242	0.5986
0.30	0	[Rangoon]	2.6825	0.7483	0.3709
0.30	0	[Xiandao]	1.6934	0.4471	0.5036
0.30	0	[Beijing]	0.6387	0.1913	0.7665
0.30	0	[Changsha]	1.0129	0.3027	0.6806
0.30	0	[Chaozhou]	1.9677	0.5234	0.4793
0.30	0	[Chengdu]	0.6516	0.1758	0.7838
0.30	0	[Fuzhou]	1.4516	0.3705	0.5897
0.30	0	[Guangzhou]	2.0194	0.5674	0.5932
0.30	0	[Hankou]	0.5097	0.1496	0.8012
0.30	0	[Jinan]	0.9613	0.3023	0.7485
0.30	0	[Meixian]	0.8258	0.2244	0.7236
0.30	0	[Nanchang]	1.1226	0.3137	0.6696
0.30	0	[Shanghai]	1.3677	0.3884	0.6072
0.30	0	[Shuangfeng]	1.871	0.5457	0.543
0.30	0	[Suzhou]	1.1226	0.3235	0.6643
0.30	0	[Taiyuan]	0.929	0.2347	0.7136
0.30	0	[Wenzhou]	2.1097	0.5976	0.4537
0.30	0	[Xiamen]	1.4774	0.4004	0.6016
0.30	0	[XiAn]	0.6903	0.2171	0.761
0.30	0	[Yangzhou]	0.9613	0.272	0.7237
0.30	0	[ZhongyuanYinyun]	1.3355	0.3327	0.647
0.30	0	[Duhumbi]	0.5236	0.2136	0.7245
0.30	0	[Jerigaon]	0.5164	0.2224	0.7388
0.30	0	[Khispi]	0.6509	0.2691	0.6394
