test_prop	valid	lng	ED	NED	B3_F1
0.5	4	ProtoKaren	0.6927	0.1736	0.77
0.5	4	Latin	1.4983	0.1825	0.7413
0.5	4	runtime	1.5325
0.5	4	samples_per_second	2180.802
0.5	4	steps_per_second	11.746
0.5	5	loss	2.510634422302246
0.5	5	ProtoBurmish	1.0448	0.2641	0.6697
0.5	5	ProtoPurus	0.5051	0.0931	0.8502
0.5	5	ProtoLalo	0.7472	0.2308	0.6545
0.5	5	ProtoBai	0.9079	0.2349	0.6737
0.5	5	ProtoKaren	0.6923	0.1777	0.7619
0.5	5	Latin	1.4805	0.1825	0.7393
0.5	5	runtime	1.5052
0.5	5	samples_per_second	2220.374
0.5	5	steps_per_second	11.959
0.5	6	loss	2.4045400619506836
0.5	6	ProtoBurmish	1.1791	0.2919	0.6396
0.5	6	ProtoPurus	0.5051	0.0881	0.8542
0.5	6	ProtoLalo	0.712	0.2189	0.6597
0.5	6	ProtoBai	0.9781	0.2442	0.6529
0.5	6	ProtoKaren	0.7253	0.1897	0.7545
0.5	6	Latin	1.4645	0.1801	0.7413
0.5	6	runtime	1.6569
0.5	6	samples_per_second	2017.038
0.5	6	steps_per_second	10.864
0.5	7	loss	2.3495302200317383
0.5	7	ProtoBurmish	1.1343	0.2867	0.6233
0.5	7	ProtoPurus	0.4747	0.0884	0.8578
0.5	7	ProtoLalo	0.6768	0.21	0.674
0.5	7	ProtoBai	0.886	0.223	0.6938
0.5	7	ProtoKaren	0.8022	0.2075	0.7452
0.5	7	Latin	1.492	0.1807	0.7409
0.5	7	runtime	1.5263
0.5	7	samples_per_second	2189.6
0.5	7	steps_per_second	11.793
0.5	8	loss	2.448936939239502
0.5	8	ProtoBurmish	1.2	0.2995	0.6436
0.5	8	ProtoPurus	0.4949	0.0931	0.852
0.5	8	ProtoLalo	0.7584	0.2286	0.6545
0.5	8	ProtoBai	0.9649	0.2407	0.659
0.5	8	ProtoKaren	0.6923	0.1746	0.7726
0.5	8	Latin	1.4834	0.1798	0.7455
0.5	8	runtime	1.5382
0.5	8	samples_per_second	2172.627
0.5	8	steps_per_second	11.702
0.5	9	loss	2.3441245555877686
0.5	9	ProtoBurmish	1.0687	0.27	0.6623
0.5	9	ProtoPurus	0.5051	0.093	0.859
0.5	9	ProtoLalo	0.7296	0.2267	0.6611
0.5	9	ProtoBai	0.917	0.229	0.6846
0.5	9	ProtoKaren	0.7582	0.1903	0.7568
0.5	9	Latin	1.4273	0.1738	0.7496
0.5	9	runtime	1.6675
0.5	9	samples_per_second	2004.149
0.5	9	steps_per_second	10.794
0.5	10	loss	2.3084263801574707
0.5	10	ProtoBurmish	1.0153	0.2635	0.6649
0.5	10	ProtoPurus	0.404	0.0716	0.8819
0.5	10	ProtoLalo	0.7072	0.2227	0.6664
0.5	10	ProtoBai	0.9062	0.2266	0.6786
0.5	10	ProtoKaren	0.6374	0.1572	0.7873
0.5	10	Latin	1.4718	0.1805	0.7445
0.5	10	runtime	1.5129
0.5	10	samples_per_second	2208.993
0.5	10	steps_per_second	11.898
0.8	1	loss	2.107759475708008
0.8	1	ProtoBurmish	1.4286	0.3715	0.5839
0.8	1	ProtoPurus	0.6352	0.1298	0.8282
0.8	1	ProtoLalo	0.8442	0.2665	0.6236
0.8	1	ProtoBai	1.0765	0.2729	0.6276
0.8	1	ProtoKaren	0.8359	0.2135	0.7478
0.8	1	Latin	1.7429	0.2078	0.7078
0.8	1	runtime	2.7105
0.8	1	samples_per_second	1974.523
0.8	1	steps_per_second	10.33
0.8	2	loss	2.165959119796753
0.8	2	ProtoBurmish	1.3726	0.3516	0.5845
0.8	2	ProtoPurus	0.4717	0.0844	0.8565
0.8	2	ProtoLalo	0.9241	0.2843	0.6061
0.8	2	ProtoBai	1.1366	0.2885	0.6202
0.8	2	ProtoKaren	0.7849	0.2038	0.7443
0.8	2	Latin	1.6995	0.2102	0.7133
0.8	2	runtime	2.6835
0.8	2	samples_per_second	1994.407
0.8	2	steps_per_second	10.434
0.8	3	loss	2.1214258670806885
0.8	3	ProtoBurmish	1.31	0.3365	0.5992
0.8	3	ProtoPurus	0.6415	0.1184	0.8113
0.8	3	ProtoLalo	0.8337	0.2594	0.6187
0.8	3	ProtoBai	1.1038	0.2889	0.6192
0.8	3	ProtoKaren	0.9404	0.2465	0.7121
0.8	3	Latin	1.6767	0.2077	0.7142
0.8	3	runtime	2.5269
0.8	3	samples_per_second	2118.034
0.8	3	steps_per_second	11.081
0.8	4	loss	2.171776056289673
0.8	4	ProtoBurmish	1.4195	0.3711	0.5803
0.8	4	ProtoPurus	0.761	0.1415	0.786
0.8	4	ProtoLalo	0.8281	0.2544	0.628
0.8	4	ProtoBai	1.0574	0.2691	0.6301
0.8	4	ProtoKaren	0.761	0.196	0.7535
