test_prop	valid	lng	ED	NED	B3_F1
0.30	0	[German]	2.9818	0.6732	0.3812
0.30	0	[Latin]	2.85	0.6583	0.3774
0.30	0	[BelejeGonfoye]	1.7049	0.3073	0.6147
0.30	0	[Fadashi]	1.0492	0.2058	0.7392
0.30	0	[Maiyu]	1.4833	0.2899	0.6585
0.30	0	[Undulu]	1.2623	0.2462	0.6906
0.30	0	[Kayah]	1.0789	0.3399	0.7066
0.30	0	[Kayan]	1.0088	0.2677	0.7716
0.30	0	[Kayaw]	0.5526	0.174	0.8299
0.30	0	[NorthernPao]	0.4298	0.1056	0.864
0.30	0	[NorthernPwo]	1.3158	0.3537	0.6886
0.30	0	[ProtoKaren]	0.886	0.2244	0.817
0.30	0	[SouthernPao]	0.2544	0.0618	0.9168
0.30	0	[WesternBwe]	0.9211	0.2873	0.7368
0.30	0	[Dashi]	0.9526	0.2856	0.6943
0.30	0	[Ega]	0.8272	0.2553	0.6881
0.30	0	[Enqi]	0.7817	0.2365	0.7346
0.30	0	[Gongxing]	1.2216	0.3682	0.5965
0.30	0	[Jinman]	0.9271	0.2943	0.6793
0.30	0	[Jinxing]	0.7513	0.2157	0.7571
0.30	0	[Mazhelong]	0.8211	0.2466	0.7224
0.30	0	[ProtoBai]	1.0761	0.2841	0.6963
0.30	0	[Tuoluo]	0.9844	0.2725	0.6896
0.30	0	[Zhoucheng]	0.5312	0.1667	0.7711
0.30	0	[BanPaw]	0.4237	0.1432	0.8359
0.30	0	[ChaYeQing]	1.0536	0.3693	0.6836
0.30	0	[ChuDongGua]	0.8983	0.3178	0.7213
0.30	0	[GuangKa]	0.9831	0.3489	0.6894
0.30	0	[HtanHsan]	0.8983	0.3133	0.7146
0.30	0	[KhunHawt]	1.1186	0.3932	0.646
0.30	0	[MangBang]	1.0	0.3602	0.6658
0.30	0	[ManLoi]	1.0847	0.3946	0.7419
0.30	0	[MengDan]	1.2542	0.4511	0.692
0.30	0	[NamHsan]	1.0678	0.3701	0.6838
0.30	0	[NanSang]	1.0169	0.3545	0.6835
0.30	0	[NoeLae]	0.2712	0.0946	0.8954
0.30	0	[NyaungGone]	0.5424	0.1881	0.817
0.30	0	[PangKham]	1.0508	0.3542	0.7373
0.30	0	[PongNuea]	0.7119	0.2689	0.8235
0.30	0	[XiangZhaiTang]	0.7627	0.2788	0.8112
0.30	0	[cojubim]	0.8261	0.1836	0.7713
0.30	0	[jaru]	2.0714	0.3594	0.5622
0.30	0	[kitemoka]	3.2051	0.5299	0.4145
0.30	0	[more]	1.1509	0.2178	0.678
0.30	0	[orowin]	1.8235	0.3073	0.6224
0.30	0	[tapakura]	2.7674	0.4537	0.4852
0.30	0	[tora]	2.1961	0.4135	0.5274
0.30	0	[urupa]	1.9211	0.3557	0.6225
0.30	0	[wanyam]	1.9636	0.3139	0.621
0.30	0	[wari]	2.3077	0.3808	0.5424
0.30	0	[AchangLongchuan]	1.3217	0.3355	0.608
0.30	0	[Atsi]	1.4745	0.4028	0.5753
0.30	0	[Bola]	0.7934	0.2158	0.7174
0.30	0	[Lashi]	1.9562	0.5185	0.5019
0.30	0	[Maru]	1.072	0.2965	0.6478
0.30	0	[OldBurmese]	1.0959	0.3525	0.688
0.30	0	[ProtoBurmish]	1.0362	0.2697	0.695
0.30	0	[Rangoon]	2.1429	0.6168	0.3786
0.30	0	[Xiandao]	1.5036	0.3939	0.5256
0.30	0	[Beijing]	0.3871	0.1122	0.8513
0.30	0	[Changsha]	0.7613	0.2152	0.7544
0.30	0	[Chaozhou]	1.5871	0.4237	0.5287
0.30	0	[Chengdu]	0.2323	0.0663	0.9173
0.30	0	[Fuzhou]	1.071	0.2792	0.675
0.30	0	[Guangzhou]	1.2387	0.3514	0.6402
0.30	0	[Hankou]	0.2194	0.067	0.9138
0.30	0	[Jinan]	0.3355	0.1067	0.8622
0.30	0	[Meixian]	0.729	0.1988	0.7295
0.30	0	[Nanchang]	0.8387	0.234	0.7035
0.30	0	[Shanghai]	0.8065	0.2269	0.7091
0.30	0	[Shuangfeng]	1.1742	0.3387	0.6273
0.30	0	[Suzhou]	0.7871	0.223	0.7236
0.30	0	[Taiyuan]	0.6903	0.1672	0.7658
0.30	0	[Wenzhou]	1.1742	0.3591	0.6148
0.30	0	[Xiamen]	1.0258	0.2731	0.6714
0.30	0	[XiAn]	0.3355	0.1086	0.8653
0.30	0	[Yangzhou]	0.6129	0.1684	0.7816
0.30	0	[ZhongyuanYinyun]	0.8065	0.1981	0.7601
0.30	0	[Duhumbi]	0.3309	0.1291	0.8205
0.30	0	[Jerigaon]	0.3273	0.1461	0.8136
0.30	0	[Khispi]	0.3527	0.1403	0.8035
0.30	0	[Khoina]	0.56	0.2509	0.7318
0.30	0	[Khoitam]	0.2655	0.1055	0.8324
0.30	0	[Rahung]	0.2655	0.1097	0.8319
0.30	0	[Rupa]	0.3164	0.1339	0.8328
0.30	0	[Shergaon]	0.3745	0.16	0.7858
0.30	0	runtime	7.0548
0.30	0	samples_per_second	1642.295
0.30	0	steps_per_second	6.52
0.50	0	loss	2.4908788204193115
0.50	0	[1]	1.1895	0.2638	0.6676
0.50	0	[10]	0.9444	0.2015	0.7456
0.50	0	[2]	1.1442	0.2596	0.7142
0.50	0	[3]	1.4815	0.3472	0.6568
0.50	0	[4]	1.0789	0.2662	0.7047
0.50	0	[5]	1.3636	0.3955	0.8053
0.50	0	[6]	1.1273	0.2509	0.6894
0.50	0	[7]	1.3906	0.321	0.677
0.50	0	[8]	1.1146	0.2446	0.702
0.50	0	[9]	1.6383	0.3309	0.6648
0.50	0	[Albanian]	3.2703	0.766	0.3592
0.50	0	[English]	2.4189	0.6278	0.4092
0.50	0	[French]	2.8434	0.7004	0.3418
0.50	0	[German]	2.5278	0.6301	0.3877
0.50	0	[Latin]	3.023	0.6703	0.3207
0.50	0	[BelejeGonfoye]	1.8675	0.3443	0.5872
0.50	0	[Fadashi]	1.2222	0.2305	0.6945
0.50	0	[Maiyu]	2.0	0.363	0.5698
0.50	0	[Undulu]	1.4835	0.2742	0.6274
0.50	0	[Kayah]	0.929	0.2858	0.7353
0.50	0	[Kayan]	1.1538	0.3004	0.7378
0.50	0	[Kayaw]	0.462	0.1449	0.8426
0.50	0	[NorthernPao]	0.8368	0.2126	0.7585
0.50	0	[NorthernPwo]	1.5179	0.4113	0.6439
0.50	0	[ProtoKaren]	0.9737	0.2504	0.7757
0.50	0	[SouthernPao]	0.5761	0.1417	0.8081
0.50	0	[WesternBwe]	1.1534	0.3553	0.7016
0.50	0	[Dashi]	1.0912	0.3295	0.6526
0.50	0	[Ega]	0.8676	0.2693	0.6709
0.50	0	[Enqi]	1.2	0.3614	0.6118
0.50	0	[Gongxing]	1.4885	0.4511	0.5554
0.50	0	[Jinman]	1.0804	0.3435	0.6263
0.50	0	[Jinxing]	0.835	0.2413	0.7418
0.50	0	[Mazhelong]	1.0761	0.3176	0.6696
0.50	0	[ProtoBai]	1.4045	0.3777	0.5951
